Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
J.League Pro Soccer Club o Tsukurou! 8 Euro Plus,PSP,2013,Sports,Sega,0,0,0.04,0,,,,,"",""
Melty Blood: Actress Again,PS2,2009,Fighting,Ecole,0,0,0.06,0,,,,,"",""
Tom Clancy's HAWX 2,X360,2010,Action,Ubisoft,0.24,0.09,0.01,0.03,68,57,6.3,29,Ubisoft,T
Incredible Crisis,PS,1999,Action,Titus,0.04,0.03,0,0.01,80,11,7.5,11,Polygon Magic,T
Polaris SnoCross,PS,2000,Racing,Vatical Entertainment,0.09,0.06,0,0.01,57,6,,,Vicarious Visions,E
Top Angler: Real Bass Fishing,PS2,2002,Sports,Xicat Interactive,0.05,0.04,0,0.01,,,,,"",""
Wipeout 2,X360,2011,Misc,Activision,0.25,0,0,0.02,,,,,Endemol,E10+
Deep Fear,SAT,1998,Adventure,Sega,0,0,0.08,0,,,,,"",""
Deponia,PC,2012,Adventure,Daedalic,0,0.13,0,0.02,74,33,8.2,307,Daedalic Entertainment,""
Just Dance 4,X360,2012,Misc,Ubisoft,0.9,0.19,0,0.09,77,23,7.7,36,Ubisoft,E10+
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,80,73,8,192,Nintendo,E
You Don't Know Jack,X360,2011,Misc,THQ,0.19,0,0,0.01,82,23,7.9,29,"Jellyvision, Iron Galaxy Studios",T
Activision Anthology,GBA,2003,Misc,Activision,0.03,0.01,0,0,79,13,,,Aspyr,E
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,76,24,8.9,81,CyberConnect2,T
Impossible Creatures,PC,2002,Strategy,Microsoft Game Studios,0,0.01,0,0,72,30,8,39,Relic,T
Tiger Woods PGA Tour 2004,GBA,2003,Sports,Electronic Arts,0.13,0.05,0,0,75,5,7.5,4,Backbone Emeryville,E
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,,,,,"",""
Brave: The Video Game,DS,2012,Action,Disney Interactive Studios,0,0.01,0,0,,,,,Behaviour Interactive,E10+
Hitman Trilogy,PS2,2007,Action,Eidos Interactive,0.05,0.04,0,0.01,,,,,Eidos Interactive,M
Powerdrome,PS2,2004,Racing,Evolved Games,0.03,0.02,0,0.01,54,4,,,Argonaut Games,T
Shin Megami Tensei NINE,XB,2002,Role-Playing,Atlus,0,0,0.05,0,,,,,"",""
Sonic the Hedgehog,PS3,,Platform,N/A,0,0.48,0,0,43,17,4.1,176,Sonic Team,E10+
Robotics;Notes,PSV,2014,Adventure,5pb,0,0,0.02,0,,,,,"",""
Need for Speed: Most Wanted,XB,2005,Racing,Electronic Arts,0.53,0.46,0,0.05,83,32,8.8,29,EA Canada,T
Lucky Luke,PS,1998,Platform,Ocean,0.13,0.09,0,0.02,,,,,"",""
Spirit Camera: The Cursed Memoir,3DS,2012,Adventure,Nintendo,0.13,0.02,0.06,0.01,54,35,6.1,28,Tecmo Koei Games,T
Street Hoops,XB,2002,Sports,Activision,0.21,0.06,0,0.01,58,22,8,4,Black Ops Entertainment,T
New Legends,XB,2002,Action,THQ,0.07,0.02,0,0,56,22,,,Infinite Machine,T
Battle Worlds: Kronos,PC,2016,Strategy,Nordic Games,0,0.01,0,0,71,15,7.1,71,KING Art,""
Cabela's North American Adventures,Wii,2010,Sports,Activision,0.19,0,0,0.01,,,,,FUN Labs,T
Midway Arcade Treasures 2,XB,2004,Misc,Midway Games,0.24,0.05,0,0.01,74,38,7.4,7,Backbone Entertainment,M
Ford Mustang: The Legend Lives,XB,2005,Racing,Take-Two Interactive,0.07,0.02,0,0,55,13,,,Eutechnyx,E
Rabbids Invasion: The Interactive TV Show,PS4,2014,Misc,Ubisoft,0,0.01,0,0,,,,,"",""
Armored Core: Silent Line,PS2,2003,Simulation,Agetec,0.07,0.06,0.16,0.02,,,,,"",""
Imagine: Teacher Class Trip,DS,2009,Adventure,Ubisoft,0.1,0.12,0,0.02,,,,,Magic Pockets,E
F1 2011,3DS,2011,Racing,Codemasters,0.07,0.08,0,0.02,59,15,6.8,13,Codemasters,E
Monsters vs. Aliens,PS3,2009,Action,Activision,0.21,0.05,0,0.04,66,18,4.5,4,Beenox,E10+
NBA Live 2001,PS2,2001,Sports,Electronic Arts,0.52,0.4,0.04,0.13,74,18,,,EA Sports,E
The Walking Dead: Season One,XOne,2014,Adventure,Telltale Games,0.08,0.06,0,0.01,,,,,"",""
TimeShift,X360,2007,Shooter,Vivendi Games,0.36,0.02,0,0.03,70,58,7.9,63,Saber Interactive,M
Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,0.12,87,12,8,585,Monolith Productions,M
Kirby's Return to Dreamland,Wii,2011,Platform,Nintendo,0.58,0.21,0.79,0.07,77,49,8.5,156,HAL Labs,E10+
Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,1.93,1.22,0.03,0.44,82,36,8.7,142,Pandemic Studios,T
Ribbit King,GC,2003,Sports,Atari,0.04,0.01,0,0,60,11,,,Bandai,E
Deception III: Dark Delusion,PS,1999,Role-Playing,Tecmo Koei,0.02,0.01,0,0,,,,,"",""
Kiniro no Corda 2,PS2,2007,Role-Playing,Tecmo Koei,0,0,0.06,0,,,,,"",""
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,2003,Misc,Namco Bandai Games,0,0,0.44,0,,,,,"",""
Team Elimination Games,Wii,2009,Misc,Ubisoft,0.07,0,0,0.01,,,,,Ubisoft,E
Transformers: Devastation,PC,2015,Action,Activision,0,0.03,0,0,74,9,7.6,56,PlatinumGames,T
Pirates of the Caribbean: At World's End,PS2,2007,Action,Disney Interactive Studios,0.2,0.16,0,0.05,54,10,7,10,Eurocom Entertainment Software,T
Fantavision,PS2,2000,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,72,18,6.3,9,SCEJ,E
Chronicles of the Sword,PS,1996,Adventure,Psygnosis,0.03,0.02,0,0,,,,,"",""
Lethal Enforcers,SNES,1993,Shooter,Konami Digital Entertainment,0,0,0.09,0,,,,,"",""
Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010,Shooter,Sega,0.06,0.01,0,0.01,,,,,"",""
Ultimate NES Remix,3DS,2014,Action,Unknown,0.15,0.09,0,0.02,69,16,7.6,32,Indies Zero,E
Tales of the World: Reve Unitia,3DS,2014,Role-Playing,Namco Bandai Games,0,0,0.11,0,,,,,"",""
Fritz Chess,Wii,2009,Strategy,Deep Silver,0.02,0,0,0,,,,,Deep Silver,E
Vitamin X to Z,PSP,2011,Adventure,D3Publisher,0,0,0.06,0,,,,,"",""
Harry Potter and the Order of the Phoenix,PSP,2007,Action,Electronic Arts,0.1,0.17,0,0.1,52,11,7.6,20,EA Games,E10+
Deception IV: Blood Ties,PSV,2014,Action,Tecmo Koei,0.02,0.02,0.07,0.01,67,19,7.5,61,Koei Tecmo Games,M
Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,2010,Misc,Hudson Soft,0,0,0.07,0,,,,,"",""
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,2003,Adventure,Square Enix,0,0,0.36,0.01,,,,,"",""
Conan,PS3,2007,Action,THQ,0.13,0.15,0,0.05,69,35,7.2,40,Nihilistic,M
Sniper Elite 3,X360,2014,Shooter,505 Games,0.16,0.12,0,0.03,,,6.6,26,Rebellion,M
"Ni Hao, Kai-lan: New Year's Celebration",DS,2009,Misc,Take-Two Interactive,0.19,0,0,0.01,,,,,Take-Two Interactive,EC
Disney Infinity 3.0,XOne,2015,Action,Disney Interactive Studios,0.2,0.11,0,0.03,,,,,"",""
Binary Star,PSV,2014,Adventure,Idea Factory,0,0,0.01,0,,,,,"",""
James Bond 007: Nightfire,GBA,2003,Shooter,Electronic Arts,0.1,0.04,0,0,66,6,8.1,9,JV Games Inc.,T
Arcana Heart,PS2,2007,Fighting,AQ Interactive,0.06,0.05,0.04,0.02,77,12,8.1,8,Examu,T
Dora the Explorer: Super Spies,GBA,2004,Platform,Gotham Games,0.44,0.16,0,0.01,,,8,5,Cinegroupe,E
MLB SlugFest 2006,PS2,2006,Sports,Midway Games,0.13,0.1,0,0.03,56,11,7.5,10,Blue Shift,E10+
Football Manager 2005,PC,2004,Sports,Sega,0,0.01,0,0,,,,,"",""
Tamagotchi Connection: Corner Shop 3,DS,2007,Simulation,Atari,0.06,0,0.31,0.01,57,4,,,NanaOn-Sha,E
Lunar: Silver Star Harmony,PSP,2009,Role-Playing,GungHo,0.19,0,0.03,0.02,80,26,7.7,47,Game Arts,T
Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999,Strategy,Namco Bandai Games,0,0,0.16,0.01,,,,,"",""
Personal Trainer: Math,DS,2007,Puzzle,Nintendo,0.48,1.12,0,0.08,63,11,,,Jupiter Corporation,E
Tokimeki Memorial Girl's Side 1st Love Plus,DS,2009,Adventure,Konami Digital Entertainment,0,0,0.03,0,,,,,"",""
Alvin and the Chipmunks,Wii,2007,Misc,Eidos Interactive,0.05,0,0,0,30,4,3.6,20,Sensory Sweep,E
PowerSlave,PS,1996,Shooter,BMG Interactive Entertainment,0.02,0.01,0,0,,,,,"",""
Dead Rising 2: Off the Record,PC,2011,Action,Capcom,0.04,0.02,0,0.01,66,10,5.3,54,Capcom Vancouver,M
Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,2010,Sports,Konami Digital Entertainment,0,0,0.1,0,,,,,"",""
Tenchu: Stealth Assassins,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,87,14,8.8,45,Acquire,M
Conflict: Denied Ops,X360,2008,Shooter,Eidos Interactive,0.08,0.09,0,0.02,52,35,4.9,22,Pivotal Games,M
Divinity II: Ego Draconis,PC,2009,Role-Playing,DTP Entertainment,0.01,0.05,0,0.01,72,43,7.7,125,Larian Studios,M
Queen's Blade: Spiral Chaos,PSP,2009,Role-Playing,Namco Bandai Games,0,0,0.11,0,,,,,"",""
Golden Nugget Casino,GBA,2004,Misc,Majesco Entertainment,0.18,0.07,0,0,,,,,Majesco Games,E
Pool Hall Pro,Wii,2009,Sports,Playlogic Game Factory,0.04,0,0,0,62,5,5.3,4,Icon Games,E
Tropico 3: Gold Edition,PC,2010,Strategy,Kalypso Media,0,0.01,0,0,,,,,Haemimont,T
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.29,0,0.11,43,25,3.6,295,Gearbox Software,M
Disney's The Emperor's New Groove,PS,2000,Platform,Sony Computer Entertainment,0.17,0.12,0,0.02,66,8,7.2,6,Disney Interactive,E
Adventure Time: Finn & Jake Investigations,3DS,2015,Action,Little Orbit,0.03,0.05,0,0.01,,,,,"",""
Football Manager 2013,PC,2012,Sports,Sega,0,0.95,0,0.21,86,37,6.7,228,Sports Interactive,""
Wild West Shootout,Wii,2010,Shooter,Unknown,0.01,0.01,0,0,,,,,Funbox Media,T
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.05,0.07,0.02,0.02,74,35,7.6,74,Koei Tecmo Games,T
The Binding of Isaac,PC,2012,Action,Unknown,0,0.03,0,0,84,30,8.3,1010,"Edmund McMillen, Florian Himsl",""
M&Ms Shell Shocked,PS,2001,Action,Berkeley,0.02,0.01,0,0,,,,,"",""
High School Musical: Sing It!,PS2,2007,Misc,Disney Interactive Studios,0.47,0.08,0,1.33,,,,,"",""
Frogger Advance: The Great Quest,GBA,2002,Action,Konami Digital Entertainment,0.05,0.02,0,0,55,9,,,KCEA,E
NASCAR Unleashed,X360,2011,Racing,Activision,0.11,0,0,0.01,,,,,Firebrand Games,E
Winning Post 8 2015,PSV,2015,Action,Tecmo Koei,0,0,0.02,0,,,,,"",""
ExciteBots: Trick Racing,Wii,2009,Racing,Nintendo,0.24,0,0,0.02,77,29,8.6,26,Monster Games Inc.,E
John Deere: Harvest in the Heartland,DS,2007,Simulation,Ubisoft,0.23,0.03,0,0.02,43,7,,,Black Lantern Studios,E
Bugs Bunny: Lost in Time,PS,1999,Platform,Infogrames,0.22,0.15,0,0.03,,,,,"",""
Bombastic,PS2,2002,Puzzle,Capcom,0.03,0.02,0,0.01,72,24,7.2,6,Shift,E
Imagine: Master Chef,DS,2007,Simulation,Ubisoft,0.39,0.91,0,0.17,,,,,Ubisoft,E
Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0,0.01,,,,,"",""
Picture Perfect Hair Salon,DS,2009,Simulation,505 Games,0.07,0,0,0.01,,,,,505 Games,E
Battlefield 2: Modern Combat,PS2,2005,Shooter,Electronic Arts,0.37,0.01,0,0.06,80,42,8.5,65,Digital Illusions,T
Pro Race Driver,PS2,2002,Racing,Codemasters,0.13,0.1,0,0.03,81,22,8.5,20,Codemasters,T
AMF Xtreme Bowling,PS2,2006,Sports,Mastertronic,0.01,0.01,0,0,30,4,4.2,5,"Atomic Planet Entertainment, Mud Duck Productions",E
Pac 'n Roll,DS,2005,Platform,Namco Bandai Games,0.09,0,0.02,0.01,72,35,,,Namco,E
The Conveni: Ano Machi wo Dokusen Seyo,PS,1997,Simulation,Human Entertainment,0,0,0.3,0.02,,,,,"",""
Hisshou Pachinko * Pachi-Slot Kouryaku Series Portable Vol. 2: CR Evangelion - Hajimari no Fukuin,PSP,2010,Misc,D3Publisher,0,0,0.02,0,,,,,"",""
Sakura Sakura: Haru Urara,PSP,2010,Adventure,GN Software,0,0,0.01,0,,,,,"",""
Legends of Wrestling II,GBA,2002,Fighting,Acclaim Entertainment,0.05,0.02,0,0,24,11,3.7,10,Powerhead Games,E
Tiger Woods PGA Tour 2003,GC,2002,Sports,Electronic Arts,0.18,0.05,0,0.01,90,10,8,5,EA Sports,E
Commando,2600,1987,Action,Activision,0.44,0.02,0,0,,,,,"",""
Super Puyo Puyo,SNES,1993,Puzzle,Banpresto,0,0,1.69,0.01,,,,,"",""
Just Dance 2016,PS4,2015,Misc,Ubisoft,0.17,0.13,0,0.06,73,10,6.8,20,Ubisoft,E10+
To Heart 2 DX Plus,PS3,2011,Adventure,Aqua Plus,0,0,0.05,0,,,,,"",""
Pinball Hall of Fame: The Gottlieb Collection,XB,2004,Misc,Crave Entertainment,0.06,0.02,0,0,,,,,"",""
Star Wars: Knights of the Old Republic,PC,2003,Role-Playing,LucasArts,0.01,0.1,0,0.02,93,33,9,1497,BioWare,T
Legend of the Guardians: The Owls of Ga'Hoole,X360,2010,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0,0.01,60,13,8,5,Krome Studios,E10+
Petz Wild Animals: Dolphinz,DS,2007,Simulation,Ubisoft,0.71,0.48,0,0.13,,,,,Magic Pockets,E
Cars: Race-O-Rama,X360,2009,Racing,THQ,0.14,0.01,0,0.01,54,8,5.8,5,Incinerator Games,E
7 Days to Die,PS4,2016,Action,Telltale Games,0.04,0.08,0,0.02,45,16,5.9,140,The Fun Pimps Entertainment LLC,M
Akatsuki no Goei Trinity,PSP,2012,Adventure,5pb,0,0,0.01,0,,,,,"",""
DS Uranai Seikatsu,DS,2009,Misc,Nintendo,0,0,0.07,0,,,,,"",""
Minna no Chizu 2,PSP,2007,Misc,Zenrin,0,0,0.02,0,,,,,"",""
Yoru no Nai Kuni,PS3,2015,Role-Playing,Tecmo Koei,0,0,0.05,0,,,,,"",""
Secret Game Portable,PSP,2010,Adventure,Yeti,0,0,0.01,0,,,,,"",""
Patapon 2,PSP,2008,Misc,Sony Computer Entertainment,0,0.03,0.06,0.01,81,49,8.3,62,SCE Japan Studio,E
House M.D.,DS,2010,Adventure,Mindscape,0.02,0,0,0,,,,,Legacy Interactive,T
Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive,0.54,0.5,0,0.12,45,39,5.8,89,City Interactive,M
Dawn of Heroes,DS,2010,Role-Playing,Majesco Entertainment,0.07,0,0,0.01,69,4,,,Wicked Studios,E10+
UNO / Skip-Bo / UNO Freefall,DS,2006,Misc,Zoo Digital Publishing,0.1,0,0,0.01,59,5,,,Black Lantern Studios,E
Sherlock Holmes: Secret of The Silver Earring,Wii,2010,Adventure,Focus Home Interactive,0,0.03,0,0,,,,,"",""
Max Payne 2: The Fall of Max Payne,XB,2003,Shooter,Take-Two Interactive,0.47,0.15,0,0.02,84,34,8.4,49,Remedy Entertainment,M
Conception II: Children of the Seven Stars,3DS,2013,Role-Playing,Screenlife,0.09,0,0.03,0.01,62,11,7.7,44,Spike,M
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,2009,Shooter,Activision,0.25,0.01,0,0.22,,,,,"",""
Conflict: Desert Storm,GC,2003,Shooter,SCi,0.06,0.02,0,0,62,19,8.4,13,Pivotal Games,T
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,2006,Shooter,Namco Bandai Games,0,0,0.49,0,,,,,"",""
The Biggest Loser: Ultimate Workout,X360,2010,Sports,THQ,0.73,0.1,0,0.06,68,11,,,Blitz Games Studios,E
